Berufsgattung,Bezeichnung,Total (in T),Frauenanteil,Auslaenderanteil,Exposure,Proximity,Exp_Prox,ISCO_kurz,Orig_Source
7234.0,Fahrradmechaniker und verwandte Berufe,1.84494478185701,6.383707652143201,14.64930426250777,0.0,65.0,32.5,72,1
7310.0,"Präzisionshandwerker und kunsthandwerkliche Berufe, onA",0.46291703116428967,74.64126333582408,11.13571876141836,2.6583333333333337,49.858333333333334,26.258333333333336,73,0
7311.0,"Uhrmacher, Uhrenarbeiter, Mikromechaniker",15.291025102874086,54.56058142207362,41.18557740375846,11.333333333333334,52.0,31.666666666666668,73,1
7312.0,Musikinstrumentenbauer und -stimmer,0.8567959279645205,21.560093854963753,18.985830651849895,7.0,48.0,27.5,73,1
7313.0,Schmuckwarenhersteller und Edelmetallbearbeiter,2.6885256197812497,52.77020459336665,18.228561292227795,0.0,54.333333333333336,27.166666666666668,73,1
7314.0,Keramiker und verwandte Berufe,0.3170337499338772,83.06786500236676,0.0,2.75,55.75,29.25,73,1
7315.0,"Glasmacher, -schneider, -schleifer und -veredler",0.3598022828573129,48.35408270137285,,1.0,34.0,17.5,73,1
7316.0,"Schildermaler, Dekormaler, Graveure und Ätzer",2.3422928069366518,54.19994851409657,7.263073332071414,0.5,52.0,26.25,73,1
7317.0,"Kunsthandwerkliche Berufe für Holz, Korbwaren und verwandte Materialien",0.3037323745386188,31.156369551867556,10.651774238197874,2.6583333333333337,49.858333333333334,26.258333333333336,73,0
7318.0,"Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien",0.15240316026089296,,18.699133583379734,3.0,55.0,29.0,73,1
7321.0,Techniker in der Druckvorstufe,5.990756629574443,46.97219600348285,12.38508615161551,1.0,50.5,25.75,73,1
7322.0,Drucker,4.64082094463016,21.98040921302851,24.70829147039163,0.0,42.0,21.0,73,1
7323.0,Berufe in der Druckweiterverarbeitung und Buchbinder,1.304464914104668,20.943204790159143,17.838014685528066,0.0,55.0,27.5,73,1
7411.0,Bauelektriker und verwandte Berufe,30.293917793840485,2.581184984586045,25.95132614680226,11.0,75.0,43.0,74,1
7412.0,Automatiker und verwandte Berufe,13.83976639165863,3.9048902229840223,21.915948029772068,14.166666666666666,65.16666666666667,39.66666666666667,74,1
7413.0,Elektroleitungsinstallateure und Wartungspersonal,3.8479849901114815,6.79306171704124,23.198890074128002,10.0,73.0,41.5,74,1
7421.0,Elektroniker und Elektronik-Servicetechniker,7.152917091422538,11.582902014372593,19.50408662270091,4.0,64.5,34.25,74,1
7422.0,Installateure und Servicetechniker im Bereich Informations- und Kommunikationstechnik,2.498482424353088,6.369616664577123,26.961428722325152,18.0,61.0,39.5,74,1
7511.0,"Metzger, Fischhändler und -verarbeiter und verwandte Berufe",7.666908241434795,13.879866139106113,38.66777267480602,15.333333333333334,78.33333333333333,46.83333333333333,75,1
7512.0,"Bäcker, Konditoren und Konfektmacher",13.405535745109892,50.19076866212747,23.597467101257607,7.0,55.0,31.0,75,1
7513.0,Molkerei- und Käsereifachkräfte,2.328705763657567,19.26934055350719,15.498268400500123,5.0,48.0,26.5,75,1
7515.0,Nahrungsmittel- und Getränkekoster und -klassierer,0.2915223915534031,100.0,11.330068650764304,12.5,76.0,44.25,75,1
7520.0,"Holzbearbeiter, Möbeltischler und verwandte Berufe, onA",0.4033570714654982,0.0,19.960999169295974,10.148809523809524,60.77380952380952,35.461309523809526,75,0
7521.0,Holztrockner und -konservierer,0.16144858775359364,27.261258825395302,27.261258825395302,9.0,70.0,39.5,75,1
7522.0,Möbeltischler und verwandte Berufe,3.5688478539925503,15.37108775055114,23.568117006349397,4.25,54.0,29.125,75,1
7523.0,Einrichter und Bediener von Holzbearbeitungsmaschinen,0.631705976987172,4.706758657148697,13.408465771479328,1.0,51.0,26.0,75,1
